,Label,Location,Price,Kms_driven,Fuel_type,Owner,Year,Company
430,1,17.0,695000,34000,2,0.0,2018,1.0
431,1,7.0,295000,87000,1,0.0,2008,3.0
432,0,1.0,1171199,36965,1,2.0,2018,2.0
433,0,1.0,625699,25526,1,1.0,2017,3.0
434,0,1.0,453199,20235,1,1.0,2016,2.0
435,0,1.0,850499,61064,2,2.0,2018,1.0
436,0,1.0,548699,12558,1,2.0,2018,1.0
437,0,1.0,498799,14179,1,1.0,2019,1.0
438,0,1.0,1377199,20379,1,1.0,2020,3.0
439,0,1.0,772799,42837,1,2.0,2017,4.0
440,0,1.0,572599,67473,1,2.0,2016,2.0
441,0,1.0,774899,27576,1,1.0,2016,3.0
442,0,1.0,885099,80900,2,2.0,2017,1.0
443,0,1.0,687499,100934,2,2.0,2017,2.0
444,0,1.0,567799,29060,1,2.0,2015,2.0
445,0,1.0,398499,36129,1,2.0,2016,2.0
447,0,1.0,520899,48710,1,2.0,2018,1.0
448,1,1.0,225000,80000,2,0.0,2012,4.0
449,1,1.0,725000,57000,1,0.0,2015,3.0
450,1,7.0,240000,97000,6,0.0,2004,3.0
451,1,1.0,425000,44000,1,0.0,2013,3.0
452,1,1.0,500000,57000,1,0.0,2015,1.0
453,1,1.0,250000,77000,1,0.0,2008,1.0
454,1,1.0,360000,81000,1,0.0,2013,1.0
455,1,1.0,975000,41000,1,0.0,2016,2.0
456,0,1.0,916799,20619,1,2.0,2018,4.0
457,0,1.0,480999,51149,5,2.0,2018,1.0
458,0,1.0,1043299,12978,1,1.0,2020,5.0
459,0,1.0,787399,40025,1,1.0,2016,3.0
460,0,1.0,501599,63075,1,2.0,2016,2.0
461,0,1.0,362999,78724,1,2.0,2012,3.0
462,0,1.0,403199,12257,1,2.0,2018,6.0
463,0,1.0,1022599,26890,2,2.0,2019,2.0
464,0,1.0,483199,20485,1,2.0,2018,15.0
465,0,1.0,321399,69220,1,2.0,2017,2.0
466,0,1.0,307999,41900,1,2.0,2017,1.0
467,0,1.0,478599,11944,1,2.0,2019,1.0
468,0,1.0,405199,66143,1,2.0,2015,1.0
469,0,1.0,314999,16563,1,2.0,2018,1.0
470,0,1.0,684599,14460,1,2.0,2016,2.0
471,0,1.0,413099,47120,1,2.0,2018,1.0
472,1,1.0,345000,115000,2,0.0,2011,25.0
473,1,1.0,385000,79200,2,0.0,2013,6.0
474,1,1.0,690000,48877,2,0.0,2016,2.0
475,1,6.0,825000,32000,1,0.0,2019,3.0
476,1,6.0,1425000,51000,1,0.0,2018,8.0
477,1,25.0,295000,56000,1,0.0,2014,1.0
478,1,1.0,700000,14000,1,0.0,2022,5.0
479,1,1.0,69000,79000,1,0.0,2006,25.0
480,0,1.0,501199,147960,2,2.0,2016,1.0
481,0,1.0,357399,38766,1,2.0,2014,1.0
482,0,1.0,494199,8409,1,2.0,2019,1.0
483,0,1.0,424099,20718,1,2.0,2019,6.0
484,0,1.0,598299,51125,1,1.0,2017,1.0
485,0,1.0,477599,64459,1,1.0,2014,2.0
486,0,1.0,447599,29467,1,1.0,2014,1.0
487,0,1.0,703999,18019,1,1.0,2017,5.0
488,0,1.0,416099,40710,1,2.0,2016,1.0
489,0,1.0,559099,1956,1,2.0,2021,1.0
490,0,1.0,463099,44696,1,0.0,2017,6.0
491,0,1.0,527099,21531,1,3.0,2018,2.0
492,0,1.0,1517999,20989,1,2.0,2019,12.0
493,0,1.0,431099,33901,1,1.0,2013,2.0
494,0,1.0,539799,54696,1,2.0,2018,2.0
495,0,1.0,1800299,11292,2,2.0,2019,9.0
496,1,1.0,1025000,14000,2,0.0,2020,6.0
497,1,1.0,129000,97000,2,0.0,2007,7.0
498,1,1.0,79000,85000,2,0.0,2007,5.0
499,1,1.0,525000,50000,2,0.0,2014,4.0
500,1,1.0,565000,53000,1,0.0,2016,3.0
501,1,1.0,435000,27000,1,0.0,2016,1.0
502,1,1.0,425000,52000,1,0.0,2016,1.0
503,1,1.0,250000,149000,1,0.0,2007,3.0
504,0,1.0,616599,27317,1,2.0,2017,2.0
505,0,1.0,466599,79784,1,2.0,2014,2.0
506,0,1.0,1656999,73656,2,1.0,2015,16.0
507,0,1.0,562999,27664,1,1.0,2018,5.0
508,0,1.0,488899,41898,1,2.0,2012,2.0
509,0,1.0,514599,4889,1,2.0,2021,1.0
510,0,1.0,495299,39836,1,1.0,2015,2.0
511,0,1.0,752399,16108,1,2.0,2016,3.0
512,0,1.0,474799,46111,1,2.0,2015,2.0
513,0,1.0,849599,23761,1,2.0,2018,1.0
514,0,1.0,663199,146782,2,1.0,2016,1.0
515,0,1.0,566699,26597,1,1.0,2016,2.0
516,0,1.0,471199,12323,1,2.0,2018,1.0
517,0,1.0,385499,3230,1,1.0,2017,6.0
518,0,1.0,491599,62059,1,3.0,2016,1.0
519,0,1.0,725699,28188,1,2.0,2019,1.0
520,1,1.0,350000,55000,1,0.0,2013,1.0
521,1,1.0,210000,79000,1,0.0,2009,1.0
522,1,1.0,460000,55000,1,0.0,2017,5.0
523,1,13.0,990000,49000,1,3.0,2010,13.0
524,1,1.0,190000,56000,1,0.0,2009,5.0
525,1,1.0,625000,83000,1,0.0,2014,1.0
